#OTU_ID,DD10_2,DD20_1,DD20_6,DD20_3,DD20_4,DD20_5,DD10_4,DD10_3,DD10_1,DD20_2,DD10_5,DD10_6
OTU3043332,2,0,1,0,0,1,0,0,3,1,1,1
OTU145578,2,1,3,3,2,3,2,2,3,0,1,1
OTU325796,12,8,7,7,3,8,19,18,12,10,12,11
OTU1491,2,9,8,5,7,8,9,7,6,8,8,6
OTU224372,2,2,1,2,2,3,1,2,2,1,1,1
OTU219330,4,5,4,3,3,5,4,3,3,4,5,4
OTU332788,65,58,63,61,62,75,87,93,66,73,94,99
OTU246461,1,0,0,0,0,0,0,0,1,0,1,0
OTU4378898,2,1,1,2,2,1,2,2,4,2,1,1
OTU1123057,1,0,0,0,0,0,2,3,1,0,1,2
OTU1069478,1,0,0,0,0,0,1,0,1,0,1,1
