#OTU_ID,DD10_2,DD20_1,DD20_6,DD20_3,DD20_4,DD20_5,DD10_4,DD10_3,DD10_1,DD20_2,DD10_5,DD10_6
OTU1546879,2,0,0,1,1,0,2,2,3,0,0,1
OTU4260136,1,0,3,0,0,4,1,1,1,0,1,0
OTU103410,1,1,0,2,2,0,3,3,1,1,1,1
OTU218095,3,1,0,1,0,0,3,4,1,2,1,0
OTU257321,3,2,1,0,1,1,8,6,4,3,0,1
OTU4041568,1,0,0,0,0,0,0,0,1,0,1,1
OTU1040631,1,0,0,0,0,0,1,0,1,0,0,1
OTU2841300,0,2,3,2,2,1,0,0,1,1,4,4
OTU1726541,1,1,5,2,2,3,1,0,1,1,0,1
OTU1898675,6,5,3,2,2,4,11,12,6,4,4,3
OTU3253464,2,0,1,0,1,1,2,0,2,0,5,4
OTU215825,3,0,4,2,2,3,0,1,3,1,1,1
OTU215477,6,5,5,8,6,4,3,7,9,7,9,9
OTU4351855,1,1,0,1,2,0,0,1,1,1,1,1
OTU113271,7,4,3,3,4,5,11,9,6,3,9,9
OTU1115889,1,0,0,0,0,0,0,0,1,0,1,1
OTU110461,2,0,0,0,0,0,1,0,3,0,2,2
OTU1112740,1,1,0,2,2,1,1,2,3,3,2,1
OTU114415,3,2,4,2,2,4,0,3,3,2,1,1
OTU207403,1,1,1,2,1,1,0,1,1,2,2,2
OTU1125638,2,1,0,1,1,0,1,2,2,1,1,2
OTU112836,1,2,1,3,2,3,2,4,2,2,1,1
OTU303643,1,1,5,1,2,1,1,1,1,2,1,0
OTU100989,2,3,3,2,2,1,3,4,4,3,0,1
OTU223175,1,1,1,0,0,1,0,0,1,2,1,1
OTU113004,5,4,1,11,12,1,4,3,8,4,1,2
OTU2215032,1,1,1,1,2,1,1,2,3,0,3,3
OTU1133464,3,3,0,2,2,3,1,1,2,2,1,2
OTU238800,3,0,0,0,0,0,2,2,2,0,2,4
OTU4327554,1,0,0,0,0,0,0,0,1,0,1,1
OTU252876,1,1,1,2,1,0,1,1,2,1,1,1
OTU364617,5,2,3,3,4,3,2,3,6,2,3,5
OTU1109251,4,7,1,7,8,3,9,8,5,6,14,11
OTU324217,5,4,3,5,7,5,4,2,4,4,4,2
OTU214584,14,15,11,14,11,12,12,13,21,17,15,12
OTU1108340,48,48,39,30,29,50,56,51,42,47,53,47
OTU207283,2,2,0,1,2,0,2,2,3,3,3,6
OTU252821,1,0,0,0,0,0,1,0,1,0,1,1
OTU247331,4,9,7,7,8,7,15,12,3,10,11,8
OTU222755,1,0,1,3,2,0,1,0,1,0,1,2
OTU1135388,1,0,3,1,0,1,2,2,3,1,1,0
OTU352324,3,3,4,2,1,5,3,3,3,3,4,4
OTU113577,4,6,3,2,2,0,3,3,3,5,2,2
OTU208595,3,4,1,2,2,1,1,1,3,4,2,2
OTU4317750,1,2,1,0,2,1,2,1,1,2,1,1
OTU4348041,1,1,0,1,2,0,0,1,2,0,1,1
OTU286878,1,0,1,0,0,1,3,3,1,1,1,1
OTU322668,8,5,7,7,6,5,13,12,9,8,10,12
OTU4314522,6,4,7,2,3,3,6,4,8,3,3,4
OTU1135798,1,0,0,0,0,0,0,3,1,0,1,1
OTU114687,1,1,1,0,0,0,3,3,0,0,1,2
OTU214676,2,1,0,2,2,1,1,1,3,2,1,1
OTU156710,1,0,0,0,0,0,0,0,1,0,1,1
OTU279390,1,1,4,1,0,1,1,3,2,1,1,1
OTU365796,2,1,0,0,2,1,1,1,1,1,2,2
OTU262096,6,0,4,1,1,5,1,2,8,0,1,1
OTU113209,2,1,5,1,2,8,2,2,1,2,0,2
OTU3815760,2,1,0,1,1,0,1,1,2,1,0,1
OTU202381,19,13,13,20,20,20,14,20,22,17,13,8
OTU4359362,1,0,0,0,0,0,1,0,1,0,1,1
OTU4305436,3,1,0,3,3,1,1,2,4,1,2,2
OTU2651008,2,2,5,1,1,1,0,1,3,1,1,1
OTU4356724,2,2,7,5,4,3,4,2,2,1,3,4
OTU224203,1,4,3,1,1,1,5,3,3,3,3,3
OTU359864,2,2,0,1,0,0,1,1,4,2,1,1
OTU4366781,0,2,1,3,1,0,1,1,1,3,3,2
OTU2034121,7,5,7,9,7,8,4,7,4,5,6,9
OTU35860,2,1,0,0,1,0,3,0,1,0,2,1
OTU339660,6,4,1,4,4,0,2,2,8,4,4,5
OTU3667538,1,1,3,3,1,3,3,1,1,1,1,1
OTU243181,1,1,0,2,2,1,1,2,1,1,1,1
OTU221130,1,0,0,0,0,0,0,1,0,0,1,2
